,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited_C
51,585,Germany,Male,36,5,146050.97,2,0,0,86424.57,No
52,788,France,Female,33,5,0.0,2,0,0,116978.19,No
53,655,Germany,Male,41,8,125561.97,1,0,0,164040.94,Yes
54,601,Germany,Male,42,1,98495.72,1,1,0,40014.76,Yes
55,619,France,Male,43,1,125211.92,1,1,1,113410.49,No
56,656,France,Male,45,5,127864.4,1,1,0,87107.57,No
57,725,Germany,Male,19,0,75888.2,1,0,0,45613.75,No
58,511,Spain,Female,66,4,0.0,1,1,0,1643.11,Yes
59,614,France,Male,51,4,40685.92,1,1,1,46775.28,No
60,742,Germany,Male,35,5,136857.0,1,0,0,84509.57,No
61,687,Germany,Female,27,9,152328.88,2,0,0,126494.82,No
62,555,Spain,Male,33,1,56084.69,2,0,0,178798.13,No
63,684,Spain,Male,56,8,78707.16,1,1,1,99398.36,No
64,603,Germany,Male,26,4,109166.37,1,1,1,92840.67,No
65,751,Germany,Female,36,6,169831.46,2,1,1,27758.36,No
66,581,Germany,Female,34,1,101633.04,1,1,0,110431.51,No
67,735,Germany,Male,43,10,123180.01,2,1,1,196673.28,No
68,661,Germany,Female,35,5,150725.53,2,0,1,113656.85,No
69,675,France,Female,21,8,98373.26,1,1,0,18203.0,No
70,738,Germany,Male,58,2,133745.44,4,1,0,28373.86,Yes
71,813,France,Male,29,6,0.0,1,1,0,33953.87,No
72,657,Spain,Female,37,0,163607.18,1,0,1,44203.55,No
73,604,Germany,Female,25,5,157780.84,2,1,1,58426.81,No
74,519,France,Male,36,9,0.0,2,0,1,145562.4,No
75,735,France,Female,21,1,178718.19,2,1,0,22388.0,No
76,664,France,Male,55,8,0.0,2,1,1,139161.64,No
77,678,France,Female,32,9,0.0,1,1,1,148210.64,No
78,757,Spain,Male,33,5,77253.22,1,0,1,194239.63,No
79,416,Germany,Female,41,10,122189.66,2,1,0,98301.61,No
80,665,France,Female,34,1,96645.54,2,0,0,171413.66,No
81,777,France,Female,32,2,0.0,1,1,0,136458.19,Yes
82,543,France,Female,36,3,0.0,2,0,0,26019.59,No
83,506,France,Female,34,4,90307.62,1,1,1,159235.29,No
84,493,France,Female,46,4,0.0,2,1,0,1907.66,No
85,652,Spain,Female,75,10,0.0,2,1,1,114675.75,No
86,750,Spain,Male,22,3,121681.82,1,1,0,128643.35,Yes
87,729,France,Male,30,9,0.0,2,1,0,151869.35,No
88,646,France,Female,46,4,0.0,3,1,0,93251.42,Yes
89,635,Germany,Female,28,3,81623.67,2,1,1,156791.36,No
90,647,Spain,Female,44,5,0.0,3,1,1,174205.22,Yes
91,808,France,Male,45,7,118626.55,2,1,0,147132.46,No
92,524,France,Female,36,10,0.0,2,1,0,109614.57,No
93,769,France,Male,29,8,0.0,2,1,1,172290.61,No
94,730,Spain,Male,42,4,0.0,2,0,1,85982.47,No
95,515,Spain,Male,35,10,176273.95,1,0,1,121277.78,No
96,773,Spain,Male,41,9,102827.44,1,0,1,64595.25,No
97,814,Germany,Male,29,8,97086.4,2,1,1,197276.13,No
98,710,Spain,Male,22,8,0.0,2,0,0,99645.04,No
99,413,France,Male,34,9,0.0,2,0,0,6534.18,No
100,665,France,Female,40,6,0.0,1,1,1,161848.03,No
101,623,France,Female,44,6,0.0,2,0,0,167162.43,No
102,738,France,Male,31,9,82674.15,1,1,0,41970.72,No
103,528,Spain,Male,36,7,0.0,2,1,0,60536.56,No
104,670,Spain,Female,65,1,0.0,1,1,1,177655.68,Yes
105,622,Spain,Female,46,4,107073.27,2,1,1,30984.59,Yes
106,582,Germany,Male,32,1,88938.62,1,1,1,10054.53,No
107,785,Germany,Female,36,2,99806.85,1,0,1,36976.52,No
108,605,Spain,Male,33,5,150092.8,1,0,0,71862.79,No
109,479,Germany,Male,35,9,92833.89,1,1,0,99449.86,Yes
110,685,Germany,Male,30,3,90536.81,1,0,1,63082.88,No
111,538,Germany,Male,39,7,108055.1,2,1,0,27231.26,No
112,562,France,Male,42,2,100238.35,1,0,0,86797.41,No
113,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,No
114,721,Germany,Male,28,9,154475.54,2,0,1,101300.94,Yes
115,628,Germany,Female,30,9,132351.29,2,1,1,74169.13,No
116,668,Germany,Female,37,6,167864.4,1,1,0,115638.29,No
117,506,France,Female,41,1,0.0,2,1,0,31766.3,No
118,524,Germany,Female,31,8,107818.63,1,1,0,199725.39,Yes
119,699,Germany,Male,34,4,185173.81,2,1,0,120834.48,No
120,828,France,Male,34,8,129433.34,2,0,0,38131.77,No
121,674,Spain,Male,39,6,120193.42,1,0,0,100130.95,No
122,656,France,Female,39,6,0.0,2,1,0,141069.88,No
123,684,Germany,Female,48,10,126384.42,1,1,1,198129.36,No
124,625,France,Female,28,3,0.0,1,0,0,183646.41,No
125,432,France,Male,42,9,152603.45,1,1,0,110265.24,Yes
126,549,France,Female,52,1,0.0,1,0,1,8636.05,Yes
127,625,Germany,Male,56,0,148507.24,1,1,0,46824.08,Yes
128,828,France,Female,41,7,0.0,2,1,0,171378.77,No
129,770,France,Male,24,9,101827.07,1,1,0,167256.35,No
130,758,France,Female,34,3,0.0,2,1,1,124226.16,No
131,795,Germany,Female,33,9,130862.43,1,1,1,114935.21,No
132,687,France,Male,38,9,122570.87,1,1,1,35608.88,No
133,686,France,Male,25,1,0.0,2,0,1,16459.37,No
134,789,Germany,Male,39,7,124828.46,2,1,1,124411.08,No
135,589,Germany,Female,50,5,144895.05,2,1,1,34941.23,No
136,461,Germany,Female,34,5,63663.93,1,0,1,167784.28,No
137,637,France,Male,40,2,133463.1,1,0,1,93165.34,No
138,584,Spain,Female,48,2,213146.2,1,1,0,75161.25,Yes
139,579,Spain,Female,35,1,129490.36,2,0,1,8590.83,Yes
140,756,Germany,Male,44,10,137452.09,1,1,0,189543.9,No
141,663,France,Male,34,7,0.0,2,1,1,180427.24,No
142,682,France,Female,43,5,125851.93,1,1,1,193318.33,No
143,793,Spain,Male,52,2,0.0,1,1,0,159123.82,Yes
144,691,France,Female,31,5,40915.55,1,1,0,126213.84,Yes
145,485,Spain,Female,21,5,113157.22,1,1,1,54141.5,No
146,635,Spain,Female,29,8,138296.94,2,1,0,141075.51,No
147,650,France,Male,37,5,106967.18,1,0,0,24495.03,No
148,735,France,Male,44,9,120681.63,1,1,0,74836.34,No
149,416,France,Male,32,0,0.0,2,0,1,878.87,No
150,754,Spain,Female,32,7,0.0,2,1,0,89520.75,No
151,535,France,Female,48,9,0.0,1,1,0,149892.79,Yes
152,716,Spain,Male,42,8,0.0,2,1,0,180800.42,No
153,539,France,Male,37,2,127609.59,1,1,0,98646.22,No
154,614,France,Female,43,6,0.0,2,1,1,109041.53,No
155,706,Spain,Male,57,7,0.0,1,1,0,17941.16,Yes
156,758,France,Female,33,7,0.0,2,0,0,82996.47,No
157,586,Spain,Female,28,2,0.0,2,1,1,92067.35,No
158,646,France,Female,73,6,97259.25,1,0,1,104719.66,No
159,631,Germany,Female,33,4,123246.7,1,0,0,112687.57,No
160,717,Spain,Female,22,6,101060.25,1,0,1,84699.56,No
161,684,France,Male,30,2,0.0,2,1,0,83473.82,No
162,800,France,Female,49,7,108007.36,1,0,0,47125.11,No
163,721,Spain,Female,36,2,0.0,2,1,1,106977.8,No
164,683,Spain,Male,29,0,133702.89,1,1,0,55582.54,Yes
165,660,Germany,Male,31,9,125189.75,2,1,1,139874.43,No
166,704,Germany,Female,24,7,113034.22,1,1,0,162503.48,Yes
167,615,Spain,Female,41,9,109013.23,1,1,0,196499.96,No
168,667,Spain,Female,39,2,0.0,2,1,0,40721.24,Yes
169,682,Germany,Male,24,9,57929.81,2,0,0,53134.3,No
170,484,France,Female,29,4,130114.39,1,1,0,164017.89,No
171,628,Germany,Male,27,5,95826.49,2,1,0,155996.96,No
172,480,Germany,Male,44,10,129608.57,1,1,0,5472.7,Yes
173,578,France,Male,30,4,169462.09,1,1,0,112187.11,No
174,512,France,Male,40,5,0.0,2,1,1,146457.83,No
175,484,Spain,Female,35,7,133868.21,1,1,1,27286.1,No
176,510,France,Female,30,0,0.0,2,1,1,130553.47,No
177,606,Germany,Male,36,5,190479.48,2,0,0,179351.89,No
178,597,Spain,Female,40,8,101993.12,1,0,1,94774.12,No
179,754,Germany,Female,55,3,161608.81,1,1,0,8080.85,Yes
180,850,Spain,Female,45,2,122311.21,1,1,1,19482.5,No
181,510,France,Male,65,2,0.0,2,1,1,48071.61,No
182,778,Germany,Female,45,1,162150.42,2,1,0,174531.27,No
183,636,France,Male,42,2,0.0,2,1,1,55470.78,No
184,804,France,Female,50,4,0.0,1,1,1,8546.87,Yes
185,514,France,Male,32,8,0.0,2,1,0,95857.18,No
186,730,France,Female,39,1,99010.67,1,1,0,194945.8,No
187,525,Spain,Female,37,0,0.0,1,0,1,131521.72,No
188,616,Spain,Male,30,5,0.0,2,0,1,196108.51,No
189,687,Germany,Female,34,7,111388.18,2,1,0,148564.76,No
190,715,France,Female,41,8,56214.85,2,0,0,92982.61,Yes
191,512,France,Female,36,3,84327.77,2,1,0,17675.36,No
192,479,France,Male,40,1,0.0,2,0,0,114996.43,No
193,601,France,Male,32,8,93012.89,1,1,0,86957.42,No
194,580,Spain,Male,29,9,61710.44,2,1,0,128077.8,No
195,807,France,Male,35,3,174790.15,1,1,1,600.36,No
196,616,Spain,Female,32,6,0.0,2,1,1,43001.46,No
197,721,Germany,Male,37,3,107720.64,1,1,1,158591.12,No
198,501,France,Male,57,10,0.0,2,1,1,47847.19,No
199,521,France,Male,35,6,96423.84,1,1,0,10488.44,No
200,850,Spain,Male,30,2,141040.01,1,1,1,5978.2,No
201,759,France,Male,42,4,105420.18,1,0,1,121409.06,No
202,516,Spain,Male,50,5,0.0,1,0,1,146145.93,Yes
203,711,France,Female,38,2,129022.06,2,1,1,14374.86,Yes
204,512,Spain,Male,33,3,176666.62,1,1,0,94670.77,No
205,550,France,Male,37,3,0.0,1,1,1,179670.31,No
206,608,Spain,Female,41,3,89763.84,1,0,0,199304.74,Yes
207,618,France,Male,34,5,134954.53,1,1,1,151954.39,No
208,643,France,Male,45,5,0.0,1,1,0,142513.5,Yes
209,671,France,Male,45,2,106376.85,1,0,1,158264.62,No
210,689,Germany,Male,33,2,161814.64,2,1,0,169381.9,No
211,603,France,Male,31,8,0.0,2,1,1,169915.02,No
212,620,France,Female,41,9,0.0,2,0,0,88852.47,No
213,676,France,Female,34,1,63095.01,1,1,1,40645.81,No
214,572,Germany,Male,26,4,118287.01,2,0,0,60427.3,No
215,668,Germany,Male,47,7,106854.21,1,0,1,157959.02,Yes
216,695,France,Male,46,7,49512.55,1,1,0,133007.34,No
217,730,Spain,Female,33,9,0.0,2,0,0,176576.62,No
218,807,France,Male,43,1,105799.32,2,1,0,34888.04,Yes
219,592,France,Male,54,8,0.0,1,1,1,28737.71,Yes
220,726,France,Female,31,9,114722.05,2,1,1,98178.57,No
221,514,Spain,Male,30,7,0.0,1,0,1,125010.24,No
222,567,France,Male,42,2,0.0,2,1,1,167984.61,No
223,850,France,Male,33,10,0.0,1,1,0,4861.72,Yes
224,671,Germany,Male,45,6,99564.22,1,1,1,108872.45,Yes
225,670,France,Male,37,4,170557.91,2,1,0,198252.88,No
226,694,France,Female,30,9,0.0,2,1,1,26960.31,No
227,547,Germany,Female,39,6,74596.15,3,1,1,85746.52,Yes
228,751,Germany,Male,50,2,96888.39,1,1,0,77206.25,Yes
229,594,Germany,Female,29,3,130830.22,1,1,0,61048.53,No
230,673,France,Male,72,1,0.0,2,0,1,111981.19,No
231,610,France,Male,40,0,0.0,2,1,0,62232.6,No
232,512,France,Female,37,1,0.0,2,0,1,156105.03,No
233,767,Germany,Male,20,3,119714.25,2,0,1,150135.38,No
234,585,France,Female,67,5,113978.97,2,0,1,93146.11,No
235,763,Germany,Male,42,6,100160.75,1,1,0,33462.94,Yes
236,712,France,Female,29,2,0.0,1,1,1,144375.0,No
237,539,Germany,Female,43,3,116220.5,3,1,0,55803.96,Yes
238,668,France,Female,46,2,0.0,3,1,0,89048.46,Yes
239,703,France,Male,28,2,81173.83,2,0,1,162812.16,No
240,662,Spain,Male,38,4,0.0,2,1,0,136259.65,No
241,725,Germany,Female,39,5,116803.8,1,1,0,124052.97,No
242,703,France,Male,37,8,105961.68,2,0,1,74158.8,No
243,659,Germany,Male,67,6,117411.6,1,1,1,45071.09,Yes
244,523,Spain,Male,34,7,0.0,2,1,0,62030.06,No
245,635,France,Female,40,10,123497.58,1,1,0,131953.23,Yes
246,772,Germany,Male,26,7,152400.51,2,1,0,79414.0,No
247,545,France,Female,26,1,0.0,2,1,1,199638.56,No
248,634,Germany,Male,24,8,103097.85,1,1,1,157577.29,No
249,739,Germany,Male,54,8,126418.14,1,1,0,134420.75,Yes
250,771,Germany,Female,36,5,77846.9,1,0,0,99805.99,No
251,587,Spain,Female,34,1,0.0,2,1,1,97932.68,No
252,681,France,Female,79,0,0.0,2,0,1,170968.99,No
253,544,Germany,Male,37,2,79731.91,1,1,1,57558.95,No
254,696,Spain,Male,28,8,0.0,1,0,0,176713.47,No
255,766,Spain,Male,41,0,0.0,2,0,1,34283.23,No
256,727,France,Male,34,10,0.0,2,1,1,198637.34,No
257,671,Germany,Female,34,6,37266.67,2,0,0,156917.12,No
258,693,France,Female,30,6,127992.25,1,1,1,50457.2,No
259,850,Germany,Male,38,3,54901.01,1,1,1,140075.55,No
260,732,Germany,Male,42,9,108748.08,2,1,1,65323.11,No
261,726,Spain,Female,48,6,99906.19,1,1,0,64323.24,No
262,557,France,Female,32,6,184686.41,2,1,0,14956.44,No
263,682,France,Female,26,0,110654.02,1,0,1,111879.21,No
264,738,Spain,Male,31,9,79019.8,1,1,1,18606.23,No
265,531,Spain,Female,36,9,99240.51,1,1,0,123137.01,No
266,498,France,Male,34,2,0.0,2,1,1,148528.24,No
267,651,France,Male,36,7,0.0,2,1,0,13898.31,No
268,549,Spain,Female,39,7,0.0,1,0,0,81259.25,Yes
269,791,Germany,Female,35,7,52436.2,1,1,0,161051.75,No
270,650,Spain,Male,41,9,0.0,2,0,1,191599.67,No
271,733,Germany,Male,34,3,100337.96,3,1,0,48559.19,Yes
272,811,Germany,Female,34,1,149297.19,2,1,1,186339.74,No
273,707,France,Male,30,8,0.0,2,1,0,33159.37,No
274,712,Germany,Male,28,4,145605.44,1,0,1,93883.53,No
275,706,Spain,Female,37,7,0.0,2,1,1,110899.3,No
276,756,France,Male,62,3,0.0,1,1,1,11199.04,Yes
277,777,France,Female,53,10,0.0,2,1,0,189992.97,No
278,646,France,Male,35,6,84026.86,1,0,1,164255.69,No
279,714,France,Male,46,1,0.0,1,1,0,152167.79,Yes
280,782,France,Male,39,8,0.0,2,1,1,33949.67,No
281,775,Spain,Male,29,10,0.0,2,1,1,68143.93,No
282,479,Germany,Male,35,4,138718.92,1,1,1,47251.79,Yes
283,807,France,Male,42,7,118274.71,1,1,1,25885.72,No
284,799,France,Female,22,8,174185.98,2,0,1,192633.85,No
285,675,France,Male,40,7,113208.86,2,1,0,34577.36,No
286,602,Spain,Male,29,5,103907.28,1,1,0,161229.84,No
287,475,France,Female,32,8,119023.28,1,1,0,100816.29,No
288,744,Spain,Female,26,5,166297.89,1,1,1,181694.44,No
289,588,Spain,Male,34,10,0.0,2,1,0,79078.91,No
290,703,Germany,Male,42,9,63227.0,1,0,1,137316.32,No
291,747,Spain,Female,41,5,94521.17,2,1,0,194926.86,No
292,583,France,Male,27,7,0.0,2,1,0,51285.49,No
293,750,Spain,Female,34,9,112822.26,1,0,0,150401.53,Yes
294,681,France,Male,38,3,0.0,2,1,1,112491.96,No
295,773,France,Male,25,2,135903.33,1,1,0,73656.38,No
296,714,France,Female,31,4,125169.26,1,1,1,106636.89,No
297,687,Spain,Female,44,7,0.0,3,1,0,155853.52,Yes
298,511,France,Male,58,0,149117.31,1,1,1,162599.51,No
299,627,France,Male,33,5,0.0,2,1,1,103737.82,No
300,694,France,Female,31,10,0.0,2,1,0,160990.27,No
301,616,Spain,Female,36,6,132311.71,1,0,0,15462.84,No
302,687,France,Male,35,8,0.0,2,1,0,10334.05,No
303,712,France,Female,33,6,0.0,2,1,1,190686.16,No
304,553,France,Male,33,4,118082.89,1,0,0,94440.45,No
305,667,France,Male,31,1,119266.69,1,1,1,28257.63,No
306,731,France,Male,43,2,0.0,1,1,1,170034.95,Yes
307,629,Germany,Male,35,7,156847.29,2,1,0,31824.29,No
308,614,France,Male,50,4,137104.47,1,1,0,127166.49,Yes
309,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,No
310,652,France,Female,80,4,0.0,2,1,1,188603.07,No
311,729,Germany,Male,30,6,63669.42,1,1,0,145111.37,No
312,642,France,Male,38,3,0.0,2,0,0,171463.83,No
313,806,Germany,Female,59,0,135296.33,1,1,0,182822.5,No
314,744,Spain,Male,36,2,153804.44,1,1,1,87213.33,No
315,474,Spain,Male,37,3,0.0,2,0,0,57175.32,No
316,559,France,Male,49,2,147069.78,1,1,0,120540.83,Yes
317,706,Spain,Male,42,9,0.0,2,1,1,28714.34,No
318,628,Spain,Female,22,3,0.0,1,1,0,85426.28,No
319,429,France,Male,24,4,95741.75,1,1,0,46170.75,No
320,525,Spain,Female,57,2,145965.33,1,1,1,64448.36,No
321,680,France,Female,30,8,141441.75,1,1,1,16278.97,No
322,749,France,Male,40,1,139290.41,1,1,0,182855.42,Yes
323,763,France,Female,31,4,0.0,2,0,0,50404.72,No
324,734,France,Male,30,3,0.0,2,1,0,107640.25,No
325,716,France,Male,35,4,144428.87,1,1,0,134132.65,No
326,594,France,Male,35,2,0.0,2,1,0,103480.69,No
327,644,France,Female,46,9,95441.27,1,1,0,108761.05,Yes
328,671,Germany,Male,35,1,144848.74,1,1,1,179012.3,No
329,664,Germany,Male,26,7,116244.14,2,1,1,95145.14,No
330,656,France,Male,50,7,0.0,2,0,1,72143.44,No
331,667,Spain,Female,40,1,146502.07,1,1,0,19162.89,No
332,663,Germany,Male,44,2,117028.6,2,0,1,144680.18,No
333,584,Germany,Female,30,8,112013.81,1,1,0,177772.03,Yes
334,626,Spain,Female,37,6,108269.37,1,1,0,5597.94,No
335,485,France,Male,29,7,182123.79,1,1,0,116828.51,Yes
336,659,Germany,Female,32,3,150923.74,2,0,1,174652.51,No
337,649,France,Male,33,2,0.0,2,1,0,2010.98,No
338,805,Spain,Female,39,5,165272.13,1,1,0,14109.85,Yes
339,716,Germany,Female,39,10,115301.31,1,1,0,43527.4,Yes
340,642,Germany,Female,40,6,129502.49,2,0,1,86099.23,Yes
341,659,France,Male,31,4,118342.26,1,0,0,161574.19,No
342,545,Spain,Female,47,5,0.0,2,1,1,38970.14,No
343,543,France,Male,22,8,0.0,2,0,0,127587.22,No
344,718,France,Female,25,7,0.0,2,1,0,30380.12,No
345,840,France,Female,43,7,0.0,2,1,0,90908.95,No
346,630,Germany,Female,34,9,106937.05,2,1,0,138275.01,No
347,643,Germany,Male,59,3,170331.37,1,1,1,32171.79,No
348,654,Germany,Female,32,1,114510.85,1,1,1,126143.23,No
349,582,France,Male,39,5,0.0,2,1,1,129892.93,No
350,659,Spain,Male,32,3,107594.11,2,1,1,102416.84,No
351,762,Spain,Male,39,2,81273.13,1,1,1,18719.67,No
352,568,Spain,Female,32,7,169399.6,1,1,0,61936.22,No
353,670,Spain,Male,25,6,0.0,2,1,1,78358.94,No
354,613,France,Female,45,1,187841.99,2,1,1,147224.27,No
355,539,France,Male,30,0,0.0,2,1,0,160979.66,No
356,850,Spain,Female,57,8,126776.3,2,1,1,132298.49,No
357,522,Spain,Male,34,9,126436.29,1,1,0,174248.52,Yes
358,737,France,Male,41,1,101960.74,1,1,1,123547.28,No
359,520,France,Male,58,3,0.0,2,0,1,32790.02,No
360,706,Spain,Male,28,3,0.0,2,0,1,181543.67,No
361,643,Germany,Female,45,2,150842.93,1,0,1,2319.96,Yes
362,648,France,Female,50,9,102535.57,1,1,1,189543.19,No
363,443,Germany,Female,29,9,99027.61,2,1,0,10940.4,No
364,640,France,Male,68,9,0.0,2,1,1,199493.38,No
365,628,Spain,Female,33,3,0.0,1,1,1,188193.25,No
366,540,Germany,Female,42,9,87271.41,2,1,0,172572.64,No
367,460,Germany,Female,35,8,102742.91,2,1,1,189339.6,No
368,636,Germany,Male,34,2,40105.51,2,0,1,53512.16,No
369,593,France,Female,29,2,152265.43,1,1,0,34004.44,No
370,801,Spain,Male,42,4,141947.67,1,1,1,10598.29,No
371,640,Germany,Female,75,1,106307.91,2,0,1,113428.77,No
372,611,Germany,Male,31,0,107884.81,2,1,1,183487.98,No
373,802,Germany,Male,31,1,125013.72,1,1,1,187658.09,No
374,717,Germany,Male,35,7,58469.37,2,1,1,172459.39,No
375,769,France,Female,39,8,0.0,1,0,1,21016.0,No
376,745,Germany,Male,45,10,117231.63,3,1,1,122381.02,Yes
377,572,Spain,Male,35,4,152390.26,1,1,0,128123.66,No
378,629,Spain,Female,30,2,34013.63,1,1,0,19570.63,No
379,687,Spain,Female,39,2,0.0,3,0,0,188150.6,Yes
380,483,France,Female,50,9,0.0,2,1,1,111020.24,No
381,690,France,Male,36,7,101583.11,2,1,0,123775.15,No
382,492,Germany,Female,30,10,77168.87,2,0,1,146700.22,No
383,709,Germany,Male,28,8,124695.72,2,1,0,145251.35,No
384,705,Germany,Male,44,3,105934.96,1,1,0,82463.69,No
385,560,France,Female,66,9,0.0,1,1,1,15928.49,No
386,611,Spain,Male,46,6,0.0,2,1,0,45886.33,No
387,730,Spain,Male,62,2,0.0,2,1,1,186489.95,No
388,709,Spain,Female,45,2,0.0,2,0,1,162922.65,No
389,544,France,Female,21,10,161525.96,2,1,0,9262.77,No
390,712,Germany,Female,29,7,147199.07,1,1,1,84932.4,No
391,752,Germany,Male,38,3,183102.29,1,1,1,71557.12,No
392,648,Spain,Male,46,9,127209.0,2,1,0,77405.95,Yes
393,556,Spain,Male,38,8,0.0,2,0,0,417.41,Yes
394,594,Spain,Female,24,0,97378.54,1,1,1,71405.17,No
395,645,Germany,Female,37,2,136925.09,2,0,1,153400.24,No
396,557,France,Male,33,3,54503.55,1,1,1,371.05,No
397,547,Germany,Male,32,8,155726.85,1,1,0,67789.99,No
398,701,France,Female,39,9,0.0,2,0,1,145894.9,No
399,616,France,Female,66,1,135842.41,1,1,0,183840.51,Yes
400,605,France,Male,52,1,63349.75,1,1,0,108887.44,No
401,593,Germany,Female,38,4,129499.42,1,1,1,154071.27,No
402,751,Spain,Male,52,8,0.0,2,0,1,179291.85,No
403,443,Spain,Male,36,6,70438.01,2,0,1,56937.43,No
404,685,France,Male,23,8,0.0,2,1,1,112239.03,No
405,718,France,Male,36,9,0.0,1,1,0,45909.87,No
406,538,Spain,Female,49,9,141434.04,1,0,0,173779.25,Yes
407,611,Spain,Female,37,4,0.0,2,1,0,125696.26,No
408,668,Germany,Male,37,10,152958.29,2,1,1,159585.61,No
409,537,Germany,Female,41,3,138306.34,1,1,0,106761.47,No
410,709,Spain,Male,23,10,0.0,2,0,0,129590.18,No
411,850,France,Male,38,1,0.0,2,1,1,80006.65,No
412,745,Spain,Female,31,3,124328.84,1,1,1,140451.52,No
413,693,Germany,Female,41,9,181461.48,3,1,1,187929.43,Yes
414,795,Spain,Male,35,8,0.0,2,1,0,167155.36,No
415,626,Spain,Male,26,8,0.0,2,0,0,191420.71,No
416,487,Germany,Female,61,5,110368.03,1,0,0,11384.45,Yes
417,556,France,Female,39,9,89588.35,1,1,1,94898.1,No
418,643,France,Female,46,6,0.0,2,0,0,106781.59,No
419,605,France,Female,28,6,0.0,2,0,0,159508.52,No
420,756,Germany,Female,60,3,115924.89,1,1,0,93524.19,Yes
421,586,France,Female,38,2,0.0,2,1,0,87168.46,No
422,535,Germany,Male,40,7,111756.5,1,1,0,8128.32,Yes
423,678,France,Female,35,4,0.0,1,1,0,125518.32,No
424,596,France,Male,39,9,0.0,1,1,0,48963.59,No
425,648,France,Male,26,9,162923.85,1,1,0,98368.24,No
426,492,Germany,Male,39,10,124576.65,2,1,0,148584.61,No
427,702,France,Male,45,0,80793.58,1,1,1,27474.81,No
428,486,Germany,Female,40,9,71340.09,1,1,0,76192.21,No
429,568,Germany,Male,40,1,99282.63,1,0,0,134600.94,Yes
430,619,Germany,Male,57,3,137946.39,1,1,1,72467.99,Yes
